breed,is_cat,Affectionate with Family,Amount of Shedding,Easy to Groom,General Health,Intelligence,Kid Friendly,Pet Friendly,Potential for Playfulness,Friendly Toward Strangers,Tendency to Vocalize, Adaptability, All Around Friendliness, Exercise Needs, Health Grooming, Trainability,Adapts Well to Apartment Living,Amount Of Shedding,Dog Friendly,Drooling Potential,Easy To Groom,Easy To Train,Energy Level,Exercise Needs,Good For Novice Owners,Incredibly Kid Friendly Dogs,Intensity,Potential For Mouthiness,Potential For Playfulness,Potential For Weight Gain,Prey Drive,Sensitivity Level,Size,Tendency To Bark Or Howl,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Wanderlust Potential
Selkirk Rex,1,4.0,4.0,2.0,3.0,,5.0,4.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siamese Cat,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siberian,1,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapura,1,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowshoe,1,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somali,1,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphynx,1,5.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonkinese,1,5.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Angora,1,5.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Van,1,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affenpinscher,0,5.0,,,4.0,4.0,,,,3.0,,3.0,3.0,4.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0
Afghan Hound,0,5.0,,,3.0,4.0,,,,2.0,,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0
Airedale Terrier,0,4.0,,,3.0,5.0,,,,3.0,,2.0,4.0,5.0,3.0,5.0,1.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0
Akita,0,5.0,,,4.0,3.0,,,,2.0,,3.0,2.0,4.0,4.0,4.0,2.0,5.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0
Alaskan Klee Kai,0,4.0,,,4.0,4.0,,,,2.0,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0
Alaskan Malamute,0,4.0,,,4.0,4.0,,,,5.0,,2.0,4.0,5.0,3.0,4.0,1.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,5.0
American Bulldog,0,5.0,,,3.0,3.0,,,,2.0,,2.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0
American English Coonhound,0,5.0,,,4.0,4.0,,,,5.0,,3.0,5.0,5.0,3.0,5.0,1.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0
American Eskimo Dog,0,5.0,,,5.0,4.0,,,,4.0,,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,3.0
American Foxhound,0,4.0,,,5.0,3.0,,,,4.0,,2.0,5.0,5.0,4.0,4.0,1.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0
American Pit Bull Terrier,0,5.0,,,4.0,4.0,,,,5.0,,3.0,4.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0
American Staffordshire Terrier,0,4.0,,,3.0,4.0,,,,4.0,,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
American Water Spaniel,0,5.0,,,3.0,3.0,,,,3.0,,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0
Anatolian Shepherd Dog,0,3.0,,,3.0,4.0,,,,1.0,,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0
Appenzeller Sennenhunde,0,5.0,,,4.0,4.0,,,,2.0,,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0
Australian Cattle Dog,0,5.0,,,5.0,5.0,,,,2.0,,3.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0
Australian Kelpie,0,4.0,,,3.0,5.0,,,,2.0,,3.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0
Australian Shepherd,0,5.0,,,2.0,5.0,,,,3.0,,3.0,4.0,5.0,2.0,5.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0
Australian Terrier,0,4.0,,,5.0,4.0,,,,3.0,,3.0,3.0,5.0,3.0,4.0,5.0,1.0,2.0,1.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,4.0
Azawakh,0,4.0,,,3.0,3.0,,,,2.0,,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0
Barbet,0,5.0,,,4.0,4.0,,,,3.0,,3.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0
