adaptability,adapts_well_to_apartment_living,affectionate_with_family,all_around_friendliness,amount_of_shedding,breed,dog_friendly,drooling_potential,easy_to_groom,easy_to_train,energy_level,exercise_needs,friendly_toward_strangers,general_health,good_for_novice_owners,health_grooming,incredibly_kid_friendly_dogs,intelligence,intensity,is_cat,kid_friendly,pet_friendly,potential_for_mouthiness,potential_for_playfulness,potential_for_weight_gain,prey_drive,sensitivity_level,size,tendency_to_bark_or_howl,tendency_to_vocalize,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,trainability,wanderlust_potential
,,5.0,,2.0,Singapura,,,4.0,,,,4.0,4.0,,,,5.0,,1,4.0,4.0,,4.0,,,,,,5.0,,,,,
,,5.0,,3.0,Snowshoe,,,5.0,,,,4.0,5.0,,,,5.0,,1,5.0,4.0,,5.0,,,,,,2.0,,,,,
,,5.0,,4.0,Somali,,,3.0,,,,4.0,2.0,,,,5.0,,1,5.0,5.0,,5.0,,,,,,,,,,,
,,5.0,,1.0,Sphynx,,,2.0,,,,5.0,2.0,,,,4.0,,1,5.0,5.0,,4.0,,,,,,,,,,,
,,5.0,,2.0,Tonkinese,,,4.0,,,,3.0,2.0,,,,5.0,,1,5.0,4.0,,5.0,,,,,,1.0,,,,,
,,5.0,,2.0,Turkish Angora,,,4.0,,,,4.0,3.0,,,,4.0,,1,3.0,3.0,,5.0,,,,,,,,,,,
,,3.0,,2.0,Turkish Van,,,4.0,,,,2.0,4.0,,,,5.0,,1,3.0,3.0,,4.0,,,,,,,,,,,
3.0,5.0,5.0,3.0,1.0,Affenpinscher,4.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,0,,,4.0,4.0,3.0,3.0,3.0,1.0,2.0,,1.0,3.0,3.0,3.0,2.0
4.0,5.0,5.0,4.0,4.0,Afghan Hound,4.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,0,,,3.0,4.0,1.0,5.0,5.0,4.0,2.0,,2.0,5.0,5.0,3.0,5.0
2.0,1.0,4.0,4.0,2.0,Airedale Terrier,4.0,1.0,2.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,0,,,5.0,5.0,4.0,5.0,3.0,3.0,4.0,,2.0,3.0,3.0,5.0,4.0
3.0,2.0,5.0,2.0,5.0,Akita,1.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,0,,,3.0,5.0,4.0,4.0,5.0,4.0,5.0,,1.0,5.0,2.0,4.0,4.0
3.0,3.0,4.0,3.0,4.0,Alaskan Klee Kai,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,0,,,2.0,4.0,2.0,5.0,4.0,2.0,3.0,,2.0,5.0,2.0,4.0,4.0
2.0,1.0,4.0,4.0,5.0,Alaskan Malamute,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,5.0,0,,,3.0,5.0,3.0,4.0,4.0,4.0,5.0,,1.0,5.0,2.0,4.0,5.0
2.0,1.0,5.0,3.0,1.0,American Bulldog,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,0,,,2.0,4.0,2.0,4.0,4.0,4.0,2.0,,1.0,2.0,2.0,3.0,3.0
3.0,1.0,5.0,5.0,3.0,American English Coonhound,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,5.0,0,,,3.0,5.0,3.0,5.0,5.0,3.0,5.0,,2.0,4.0,4.0,5.0,5.0
4.0,5.0,5.0,5.0,5.0,American Eskimo Dog,5.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,0,,,3.0,5.0,4.0,3.0,4.0,2.0,4.0,,2.0,5.0,3.0,4.0,3.0
2.0,1.0,4.0,5.0,3.0,American Foxhound,5.0,1.0,5.0,2.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,0,,,3.0,5.0,5.0,4.0,2.0,3.0,5.0,,1.0,4.0,4.0,4.0,5.0
3.0,3.0,5.0,4.0,4.0,American Pit Bull Terrier,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,5.0,0,,,5.0,5.0,3.0,3.0,4.0,3.0,3.0,,1.0,2.0,3.0,4.0,4.0
2.0,2.0,4.0,4.0,2.0,American Staffordshire Terrier,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,0,,,5.0,4.0,2.0,3.0,3.0,3.0,4.0,,2.0,2.0,3.0,4.0,3.0
3.0,2.0,5.0,4.0,3.0,American Water Spaniel,2.0,1.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,0,,,5.0,5.0,3.0,2.0,5.0,3.0,3.0,,1.0,2.0,4.0,4.0,5.0
3.0,1.0,3.0,2.0,2.0,Anatolian Shepherd Dog,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,0,,,2.0,3.0,3.0,2.0,4.0,5.0,2.0,,3.0,5.0,3.0,3.0,4.0
3.0,1.0,5.0,4.0,3.0,Appenzeller Sennenhunde,3.0,1.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,0,,,5.0,4.0,3.0,3.0,3.0,3.0,5.0,,1.0,5.0,4.0,4.0,3.0
3.0,2.0,5.0,4.0,3.0,Australian Cattle Dog,4.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,0,,,5.0,5.0,4.0,4.0,4.0,3.0,2.0,,3.0,4.0,4.0,4.0,4.0
3.0,2.0,4.0,3.0,3.0,Australian Kelpie,3.0,1.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,0,,,5.0,4.0,2.0,4.0,4.0,3.0,4.0,,2.0,3.0,5.0,5.0,4.0
3.0,1.0,5.0,4.0,3.0,Australian Shepherd,5.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,0,,,4.0,5.0,4.0,4.0,5.0,3.0,4.0,,2.0,4.0,4.0,5.0,5.0
3.0,5.0,4.0,3.0,1.0,Australian Terrier,2.0,1.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,0,,,1.0,5.0,3.0,5.0,2.0,1.0,5.0,,2.0,3.0,4.0,4.0,4.0
3.0,5.0,4.0,3.0,3.0,Azawakh,3.0,1.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0,,,3.0,3.0,3.0,4.0,3.0,3.0,1.0,,3.0,1.0,5.0,3.0,2.0
3.0,3.0,5.0,4.0,2.0,Barbet,4.0,1.0,1.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,0,,,2.0,4.0,3.0,3.0,3.0,3.0,3.0,,1.0,4.0,4.0,3.0,3.0
4.0,5.0,5.0,5.0,1.0,Basenji,4.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,1.0,0,,,5.0,2.0,2.0,5.0,3.0,2.0,1.0,,4.0,1.0,4.0,4.0,5.0
3.0,5.0,5.0,5.0,4.0,Basset Hound,5.0,4.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,4.0,2.0,0,,,3.0,2.0,5.0,5.0,4.0,2.0,4.0,,3.0,2.0,2.0,4.0,5.0
3.0,4.0,5.0,5.0,3.0,Beagle,5.0,1.0,4.0,1.0,4.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,5.0,0,,,3.0,5.0,5.0,5.0,4.0,2.0,5.0,,1.0,2.0,4.0,4.0,5.0
3.0,3.0,5.0,5.0,4.0,Bearded Collie,5.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,0,,,3.0,5.0,4.0,3.0,4.0,3.0,3.0,,2.0,4.0,3.0,4.0,5.0
4.0,4.0,5.0,5.0,5.0,Bedlington Terrier,4.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,0,,,4.0,5.0,3.0,5.0,3.0,3.0,3.0,,3.0,4.0,3.0,4.0,4.0
3.0,1.0,5.0,4.0,2.0,Belgian Malinois,2.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,0,,,3.0,5.0,2.0,4.0,5.0,4.0,2.0,,3.0,4.0,4.0,4.0,3.0
4.0,3.0,4.0,5.0,5.0,Belgian Sheepdog,5.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,0,,,2.0,5.0,2.0,5.0,5.0,4.0,1.0,,3.0,4.0,3.0,4.0,4.0
3.0,3.0,4.0,3.0,4.0,Belgian Tervuren,3.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,0,,,2.0,5.0,2.0,2.0,5.0,4.0,5.0,,1.0,4.0,3.0,4.0,4.0
4.0,3.0,5.0,4.0,4.0,Berger Picard,3.0,1.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,0,,,2.0,5.0,3.0,3.0,5.0,4.0,2.0,,3.0,4.0,3.0,3.0,2.0
3.0,3.0,5.0,4.0,1.0,Bernedoodle,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,0,,,4.0,5.0,3.0,3.0,4.0,3.0,3.0,,2.0,5.0,3.0,4.0,3.0
2.0,1.0,5.0,5.0,5.0,Bernese Mountain Dog,3.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,2.0,4.0,5.0,4.0,3.0,0,,,5.0,4.0,4.0,5.0,4.0,5.0,4.0,,1.0,5.0,1.0,4.0,3.0
4.0,5.0,5.0,5.0,2.0,Bichon Frise,4.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,0,,,3.0,5.0,4.0,4.0,5.0,2.0,2.0,,1.0,3.0,4.0,3.0,2.0
3.0,1.0,5.0,4.0,3.0,Black Mouth Cur,3.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,0,,,3.0,4.0,2.0,5.0,4.0,4.0,4.0,,2.0,3.0,3.0,4.0,4.0
3.0,3.0,5.0,4.0,2.0,Black Russian Terrier,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,0,,,4.0,5.0,3.0,3.0,4.0,5.0,3.0,,1.0,4.0,3.0,4.0,3.0
3.0,1.0,5.0,5.0,5.0,Black and Tan Coonhound,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,0,,,1.0,5.0,5.0,5.0,3.0,3.0,5.0,,2.0,4.0,4.0,4.0,5.0
3.0,1.0,5.0,5.0,4.0,Bloodhound,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,0,,,5.0,3.0,3.0,3.0,4.0,4.0,4.0,,2.0,3.0,3.0,4.0,5.0
3.0,1.0,4.0,3.0,3.0,Blue Lacy,2.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,3.0,5.0,5.0,0,,,4.0,4.0,2.0,5.0,4.0,3.0,5.0,,2.0,4.0,5.0,5.0,4.0
3.0,2.0,5.0,4.0,2.0,Bluetick Coonhound,3.0,2.0,5.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,0,,,3.0,5.0,3.0,4.0,5.0,3.0,4.0,,2.0,3.0,3.0,4.0,5.0
2.0,1.0,4.0,3.0,3.0,Boerboel,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,0,,,3.0,4.0,3.0,3.0,3.0,5.0,3.0,,2.0,3.0,4.0,3.0,4.0
3.0,5.0,5.0,5.0,1.0,Bolognese,5.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,3.0,0,,,4.0,3.0,3.0,5.0,5.0,1.0,4.0,,2.0,2.0,3.0,4.0,1.0
3.0,2.0,5.0,4.0,3.0,Border Collie,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,0,,,3.0,5.0,3.0,3.0,5.0,3.0,2.0,,1.0,4.0,4.0,4.0,3.0
3.0,4.0,5.0,4.0,3.0,Border Terrier,2.0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,0,,,5.0,5.0,5.0,5.0,3.0,2.0,1.0,,1.0,4.0,3.0,4.0,4.0
4.0,5.0,4.0,4.0,5.0,Borzoi,4.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,0,,,3.0,3.0,2.0,5.0,5.0,5.0,2.0,,1.0,4.0,3.0,4.0,4.0
4.0,5.0,4.0,5.0,2.0,Boston Terrier,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,0,,,2.0,5.0,3.0,2.0,5.0,2.0,3.0,,3.0,3.0,2.0,3.0,5.0
3.0,3.0,5.0,4.0,1.0,Bouvier des Flandres,2.0,1.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,0,,,2.0,4.0,4.0,2.0,4.0,4.0,4.0,,2.0,4.0,2.0,3.0,2.0
3.0,4.0,5.0,4.0,4.0,Boxer,3.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,0,,,2.0,5.0,4.0,3.0,4.0,3.0,3.0,,1.0,2.0,1.0,3.0,3.0
3.0,1.0,5.0,4.0,4.0,Boykin Spaniel,4.0,1.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,0,,,4.0,4.0,4.0,2.0,4.0,3.0,3.0,,3.0,3.0,4.0,4.0,4.0
3.0,1.0,5.0,4.0,3.0,Bracco Italiano,5.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,0,,,3.0,3.0,3.0,5.0,4.0,4.0,2.0,,3.0,3.0,3.0,3.0,3.0
3.0,3.0,4.0,4.0,1.0,Briard,5.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,0,,,2.0,4.0,3.0,3.0,4.0,4.0,4.0,,3.0,4.0,3.0,4.0,5.0
3.0,1.0,5.0,5.0,3.0,Brittany,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,0,,,3.0,5.0,3.0,5.0,5.0,3.0,3.0,,1.0,4.0,3.0,4.0,4.0
3.0,5.0,5.0,3.0,3.0,Brussels Griffon,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,0,,,3.0,5.0,3.0,1.0,5.0,1.0,4.0,,1.0,1.0,2.0,3.0,5.0
3.0,4.0,5.0,5.0,3.0,Bull Terrier,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,0,,,4.0,5.0,5.0,4.0,5.0,2.0,1.0,,2.0,1.0,4.0,4.0,5.0
3.0,5.0,5.0,4.0,3.0,Bulldog,2.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,0,,,2.0,4.0,5.0,2.0,4.0,2.0,4.0,,3.0,1.0,1.0,2.0,1.0
3.0,3.0,5.0,4.0,1.0,Bullmastiff,4.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,0,,,3.0,5.0,5.0,3.0,4.0,5.0,4.0,,2.0,4.0,2.0,3.0,3.0
4.0,5.0,5.0,5.0,3.0,Cairn Terrier,4.0,1.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,0,,,3.0,5.0,3.0,4.0,3.0,1.0,4.0,,1.0,4.0,4.0,4.0,3.0
4.0,4.0,4.0,3.0,4.0,Canaan Dog,3.0,1.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,0,,,3.0,4.0,2.0,3.0,4.0,3.0,3.0,,3.0,3.0,5.0,3.0,2.0
2.0,1.0,4.0,3.0,3.0,Cane Corso,3.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,0,,,2.0,2.0,4.0,5.0,3.0,4.0,3.0,,1.0,3.0,4.0,4.0,2.0
4.0,4.0,5.0,4.0,4.0,Cardigan Welsh Corgi,3.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,0,,,2.0,4.0,4.0,4.0,4.0,2.0,2.0,,3.0,4.0,3.0,3.0,3.0
2.0,1.0,5.0,3.0,3.0,Catahoula Leopard Dog,1.0,1.0,5.0,2.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,0,,,3.0,2.0,3.0,1.0,2.0,4.0,3.0,,2.0,3.0,3.0,3.0,3.0
3.0,2.0,4.0,3.0,4.0,Caucasian Shepherd Dog,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,0,,,4.0,3.0,4.0,3.0,2.0,5.0,3.0,,3.0,5.0,2.0,3.0,2.0
4.0,5.0,5.0,5.0,3.0,Cavalier King Charles Spaniel,5.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,0,,,3.0,5.0,4.0,3.0,5.0,2.0,3.0,,1.0,3.0,2.0,3.0,2.0
4.0,5.0,5.0,3.0,1.0,Cesky Terrier,2.0,1.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,0,,,3.0,5.0,4.0,2.0,4.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0
3.0,1.0,5.0,3.0,5.0,Chesapeake Bay Retriever,1.0,3.0,5.0,3.0,5.0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,5.0,0,,,3.0,4.0,4.0,3.0,3.0,3.0,3.0,,2.0,4.0,4.0,3.0,4.0
3.0,5.0,5.0,4.0,2.0,Chihuahua,2.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,0,,,3.0,4.0,3.0,3.0,5.0,1.0,3.0,,1.0,1.0,2.0,3.0,2.0
3.0,5.0,4.0,4.0,2.0,Chinese Crested,4.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,2.0,5.0,3.0,1.0,0,,,4.0,3.0,2.0,3.0,5.0,2.0,3.0,,1.0,1.0,3.0,3.0,1.0
3.0,4.0,2.0,2.0,5.0,Chinese Shar-Pei,1.0,2.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0,,,5.0,1.0,4.0,2.0,2.0,3.0,5.0,,4.0,2.0,1.0,3.0,2.0
3.0,4.0,5.0,5.0,5.0,Chinook,5.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,5.0,3.0,0,,,3.0,4.0,3.0,2.0,5.0,4.0,2.0,,1.0,5.0,4.0,3.0,2.0
3.0,3.0,2.0,1.0,1.0,Chow Chow,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,0,,,5.0,1.0,4.0,2.0,2.0,4.0,1.0,,5.0,5.0,2.0,2.0,2.0
4.0,5.0,5.0,4.0,5.0,Clumber Spaniel,4.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,0,,,5.0,5.0,5.0,5.0,4.0,3.0,1.0,,2.0,5.0,2.0,4.0,4.0
4.0,4.0,5.0,5.0,1.0,Cockapoo,5.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,0,,,2.0,5.0,3.0,3.0,4.0,2.0,2.0,,3.0,4.0,4.0,3.0,3.0
4.0,5.0,5.0,4.0,3.0,Cocker Spaniel,4.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,0,,,4.0,4.0,4.0,5.0,5.0,2.0,3.0,,1.0,4.0,3.0,4.0,4.0
4.0,3.0,5.0,5.0,5.0,Collie,4.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,0,,,3.0,4.0,3.0,4.0,5.0,3.0,4.0,,2.0,4.0,3.0,3.0,1.0
4.0,5.0,5.0,5.0,1.0,Coton de Tulear,5.0,1.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,2.0,0,,,3.0,5.0,3.0,1.0,5.0,1.0,2.0,,1.0,3.0,3.0,3.0,3.0
3.0,1.0,5.0,4.0,3.0,Curly-Coated Retriever,4.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,0,,,5.0,5.0,3.0,5.0,3.0,3.0,3.0,,3.0,4.0,4.0,4.0,4.0
